,id,Scientific_Name,Common_Name,size,Size_category,Mass,Habitat,Habitat_Category,Migration,Trophic_Level__Feeding_Habits_,Min_Latitude,Max_Latitude,Centroid_Latitude,Centroid_Longitude,Range_Size,General_Describtion,species_status,status
10288,8493,lophotis ruficrista,Red-crested Korhaan,488.7,Large,712.1,Shrubland,Open habitats,1,Omnivore,-28.60,-11.59,-20.84,23.24,2013859.39,"The red-crested korhaan or red-crested bustard (Lophotis ruficrista) is a species of bird in the family Otididae. It is found in Angola, Botswana, Eswatini, Mozambique, Namibia, South Africa, Zambia, and Zimbabwe.[1]",Least Concern,ENRICHED
10289,2980,lophotis savilei,Savile's Bustard,440.3,Large,712.1,Shrubland,Open habitats,1,Omnivore,3.49,16.94,13.54,8.03,1057430.55,"Savile's bustard (Lophotis savilei) is a species of bird in the family Otididae. Otididae are an Old-World and understudied family of birds mostly found in Afro-Tropical regions.[3] It is found in Burkina Faso, Cameroon, Chad, Ivory Coast, Gambia, Mali, Mauritania, Niger, Nigeria, Senegal, and Sudan.",Least Concern,ENRICHED
10290,10619,luscinia luscinia,Thrush Nightingale,183.9,Medium,23.8,Shrubland,Dense habitats,3,Carnivore,40.53,65.07,55.79,51.31,6890175.16,0,Least Concern,ENRICHED
10291,3140,lybius undatus,Banded Barbet,143.6,Medium,38.5,Shrubland,Semi-open habitats,1,Omnivore,4.56,16.70,9.28,38.21,580218.29,The banded barbet (Lybius undatus) is a species of bird in the family Lybiidae. It is found in Eritrea and Ethiopia.,extant,ENRICHED
10292,4064,malcorus pectoralis,Rufous-eared Warbler,143.4,Medium,10.13,Shrubland,Semi-open habitats,1,Carnivore,-34.14,-18.34,-27.84,21.42,1273750.67,"The rufous-eared warbler (Malcorus pectoralis) is a species of bird in the family Cisticolidae. It is found in Botswana, Namibia, and South Africa. It is the only species in the genus Malcorus.
Its natural habitats are subtropical or tropical dry shrubland and subtropical or tropical dry lowland grassland.",extant,ENRICHED
10293,4210,malurus alboscapulatus,White-shouldered Fairywren,116.4,Small,9.33,Shrubland,Open habitats,1,Carnivore,-10.70,-0.34,-5.43,141.06,778806.38,"The white-shouldered fairywren (Malurus alboscapulatus) is a species of bird in the Australasian wren family, Maluridae.
It is found in New Guinea.",extant,ENRICHED
10294,10529,malurus cyaneus,Superb Fairywren,135.5,Small,10.33,Shrubland,Semi-open habitats,1,Carnivore,-43.62,-22.76,-32.39,147.14,1239779.31,0,extant,ENRICHED
10295,8683,malurus lamberti,Variegated Fairywren,145.1,Medium,8.04,Shrubland,Semi-open habitats,1,Carnivore,-36.63,-23.34,-29.12,151.78,212534.11,"The variegated fairywren (Malurus lamberti) is a fairywren that lives in eastern Australia. As a species that exhibits sexual dimorphism, the brightly coloured breeding male has chestnut shoulders and azure crown and ear coverts, while non-breeding males, females and juveniles have predominantly grey-brown plumage, although females of two subspecies have mainly blue-grey plumage.",Least Concern,ENRICHED
10296,8957,malurus leucopterus,White-winged Fairywren,124.7,Small,7.4,Shrubland,Semi-open habitats,1,Carnivore,-37.16,-17.57,-26.59,132.64,5612678.07,"The white-winged fairywren (Malurus leucopterus) is a species of passerine bird in the Australasian wren family, Maluridae. It lives in the drier parts of Central Australia; from central Queensland and South Australia across to Western Australia. Like other fairywrens, this species displays marked sexual dimorphism and one or more males of a social group grow brightly coloured plumage during the breeding season. The female is sandy-brown with light-blue tail feathers; it is smaller than the male, which, in breeding plumage, has a bright-blue body, black bill, and white wings. Younger sexually mature males are almost indistinguishable from females and are often the breeding males. In spring and summer, a troop of white-winged fairywrens has a brightly coloured older male accompanied by small, inconspicuous brown birds, many of which are also male. Three subspecies are recognised. Apart from the mainland subspecies, one is found on Dirk Hartog Island, and another on Barrow Island off the coast of Western Australia. Males from these islands have black rather than blue breeding plumage.",Least Concern,ENRICHED
10297,10175,malurus splendens,Splendid Fairywren,132.7,Small,9.39,Shrubland,Semi-open habitats,1,Carnivore,-36.16,-19.25,-28.18,132.45,2710216.86,"The splendid fairywren (Malurus splendens) is a passerine bird in the Australasian wren family, Maluridae. It is also known simply as the splendid wren or more colloquially in Western Australia as the blue wren. The splendid fairywren is found across much of the Australian continent from central-western New South Wales and southwestern Queensland over to coastal Western Australia. It inhabits predominantly arid and semi-arid regions. Exhibiting a high degree of sexual dimorphism, the male in breeding plumage is a small, long-tailed bird of predominantly bright blue and black colouration. Non-breeding males, females and juveniles are predominantly grey-brown in colour; this gave the early impression that males were polygamous as all dull-coloured birds were taken for females. It comprises several similar all-blue and black subspecies that were originally considered separate species.",extant,ENRICHED
10298,5984,margarops fuscatus,Pearly-eyed Thrasher,283.9,Medium,98.43,Shrubland,Semi-open habitats,1,Omnivore,12.02,25.56,18.70,-67.29,20593.03,"The pearly-eyed thrasher (Margarops fuscatus) is a bird in the thrasher family Mimidae. It is found on many Caribbean islands, from the Bahamas in the north to the Grenadines in the south, with an isolated subspecies on Bonaire.",Not Evaluated,ENRICHED
10299,7294,megalurus palustris,Striated Grassbird,242.2,Medium,44.1,Shrubland,Open habitats,2,Carnivore,-8.85,32.29,19.65,97.08,2258407.86,"The striated grassbird (Megalurus palustris) is an ""Old World warbler"" species in the family Locustellidae. It was formerly placed in the family Sylviidae. It is now the only species placed in the genus Megalurus.",extant,ENRICHED
10300,9478,melanerpes aurifrons,Golden-fronted Woodpecker,230.0,Medium,80.77,Shrubland,Semi-open habitats,1,Omnivore,12.65,36.48,22.96,-96.75,1414625.35,"The golden-fronted woodpecker (Melanerpes aurifrons) is a species of bird in subfamily Picinae of the woodpecker family Picidae. It is found in the southern United States, Mexico and parts of Central America.",Least Concern,ENRICHED
10301,4163,melanerpes hypopolius,Gray-breasted Woodpecker,234.6,Medium,52.4,Shrubland,Semi-open habitats,1,Omnivore,16.23,18.93,17.53,-98.00,81784.17,The grey-breasted woodpecker (Melanerpes hypopolius) is a species of bird in the family Picidae. It is endemic to the interior of southwestern Mexico.,extant,ENRICHED
10302,6593,melanerpes pygmaeus,Yucatan Woodpecker,178.8,Medium,38.81,Shrubland,Semi-open habitats,1,Omnivore,16.41,21.61,19.77,-88.91,126112.50,"The Yucatan woodpecker (Melanerpes pygmaeus) is a species of bird in the family Picidae. It is sometimes referred to as the red-vented woodpecker.[2] The Yucatan woodpecker is found in Belize and Mexico, and ranges over the entire Yucatán Peninsula. Its natural habitats are subtropical or tropical dry forests, subtropical or tropical dry shrubland, and heavily degraded former forest.",extant,ENRICHED
10303,9796,melanerpes uropygialis,Gila Woodpecker,241.9,Medium,64.66,Shrubland,Open habitats,1,Omnivore,20.46,35.70,28.96,-110.67,567324.49,"The Gila woodpecker (Melanerpes uropygialis) is a medium-sized woodpecker of the desert regions of the southwestern United States and western Mexico. In the U.S., they range through southeastern California, southern Nevada, Arizona, and New Mexico.",extant,ENRICHED
