species_no,scientific_name
9333,leucophaeus pipixcan
6966,spizixos semitorques
8530,harpactes fasciatus
9453,ammodramus savannarum
2106,cuculus crassirostris
4682,cossypha heinrichi
8208,numenius tahitiensis
5479,grallaria rufula
10608,passerina ciris
2837,geokichla princei
2622,grallaria chthonia
1260,leptocoma brasiliana
3798,gallinago imperialis
189,phyllastrephus fischeri
2474,percnostola rufifrons
3174,crithagra frontalis
9680,limicola falcinellus
4539,charmosyna rubronotata
6604,buteogallus schistaceus
763,hypocnemis ochrogyna
6908,hemithraupis ruficapilla
7305,strix chacoensis
9951,polytelis alexandrae
1441,neopipo cinnamomea
49,rothschild's bird of paradise
7013,emberizoides herbicola
450,crateroscelis nigrorufa
10156,rupicola rupicola
8879,oriolus larvatus
1365,urosphena pallidipes
9200,circus approximans
7924,leucosticte arctoa
5905,dicaeum concolor
8147,nothura maculosa
7495,acanthiza nana
10575,spinus cucullata
4786,chlorostilbon forficatus
3324,grallina bruijni
2794,artamus mentalis
7270,forpus sclateri
2050,progne murphyi
7785,ammodramus bairdii
7172,thamnolaea cinnamomeiventris
9076,chlamydera nuchalis
5206,sicalis olivascens
10804,phoenicurus ochruros
3360,icterus northropi
2731,tricholaema hirsuta
56,megavitiornis altirostris
1642,cisticola hunteri
9901,cissa chinensis
7601,lonchura griseicapilla
6912,hawaiian gallinule
9847,cochlearius cochlearius
5324,columba palumboides
5717,pyrrhula cineracea
9377,ichthyophaga ichthyaetus
4070,pipreola formosa
6847,aethopyga duyvenbodei
6011,glyphorynchus spirurus
8155,columba argentina
9388,megalapteryx didinus
8900,eos reticulata
6874,laniarius ferrugineus
6695,osteodontornis orri
10344,anas cyanoptera
5769,loriculus exilis
8729,cyanoramphus zealandicus
4128,asthenes baeri
1114,microbates cinereiventris
807,vireo sclateri
7664,micropsitta pusio
9117,parus monticolus
6607,antrostomus rufus
3224,oreopsar bolivianus
6856,phylidonyris pyrrhopterus
6885,anthochaera paradoxa
7456,nisaetus lanceolatus
4954,mirafra apiata
6867,gallicolumba keayi
9309,emblema pictum
7190,timalia pileata
7851,anthus gustavi
45,hemignathus hanapepe
2266,kupeornis gilberti
1422,hemitriccus obsoletus
5385,euphonia cayennensis
5311,anthus nilghiriensis
3099,cormobates placens
1372,pycnonotus cinereifrons
7041,pytilia hypogrammica
2712,thripadectes flammulatus
5627,treron fulvicollis
7311,fulmarus glacialoides
2955,ortygospiza gabonensis
2276,robsonius rabori
2199,mascarenotus sauzieri
8192,dendrocygna arborea
1270,phylloscopus olivaceus
6967,patagioenas maculosa
3367,lonchura monticola
10497,rynchops niger
3382,cacomantis leucolophus
4251,clytoceyx rex
5577,campylopterus phainopeplus
2496,zosterops oleagineus
3374,eremomela usticollis
6546,enicurus ruficapillus
3113,niltava sumatrana
2591,psilorhamphus guttatus
6825,catharus gracilirostris
399,rhipidura hyperythra
10094,pagophila eburnea
2269,lophotriccus vitiosus
6743,amazilia candida
9426,caprimulgus ruficollis
7367,poicephalus fuscicollis
3386,oceanodroma markhami
2801,garrulax ruficollis
6386,prinia sylvatica
4006,xiphocolaptes major
824,platysteira blissetti
5361,myzomela obscura
2493,xenopirostris damii
2505,erythromachus leguati
3516,turdoides plebejus
6121,thalurania ridgwayi
567,epinecrophylla fjeldsaai
3782,tyto gigantea
145,apalis chapini
607,montifringilla henrici
9675,agapornis taranta
8411,trogon personatus
5685,caryothraustes poliogaster
8189,muscicapa griseisticta
1992,aethopyga linaraborae
284,bornean swiftlet
10325,amazona amazonica
