species_no,scientific_name,species_id
276,apus salimalii,/m/0hgnfb6
277,roper river scrub robin,/m/0j663yp
278,grus cubensis,/m/0ll389_
279,cinnyris prigoginei,/m/0n496n6
280,ducula neglecta,/m/0s8wj4z
281,alcippe davidi,/m/0ys_fp1
282,alcippe fratercula,/m/0yt02bm
283,alcippe hueti,/m/0yt3yy5
284,bornean swiftlet,/m/0z6syvd
285,cynanthus doubledayi,/m/012kz_p4
286,trichoglossus rosenbergii,/m/012lb37f
287,herpsilochmus praedictus,/m/0_1fq8w
288,herpsilochmus stotzi,/m/0_1j05p
289,anas strepera couesi,/m/02621cn
290,lonchura forbesi,/m/0284hcc
291,vini vidivici,/m/02rf05l
292,bradypterus bangwaensis,/m/02vv4_x
293,bradypterus graueri,/m/02vv52_
294,eremomela flavicrissalis,/m/02vv5jr
295,urosphena neumanni,/m/02vv5mv
296,megalurulus rubiginosus,/m/02vv5yt
297,nesillas mariae,/m/02vv65c
298,phylloscopus emeiensis,/m/02vv6jq
299,phylloscopus hainanus,/m/02vv6lf
300,phylloscopus laurae,/m/02vv6nh
301,phylloscopus presbytes,/m/02vv6sz
302,chaetura martinica,/m/02w4nhl
303,aerodramus ocistus,/m/02w4nrv
304,neafrapus boehmi,/m/02w4p1t
305,eurillas ansorgei,/m/02w51g7
306,baeopogon clamans,/m/02w51n7
307,batis margaritae,/m/02w5xjj
308,lichmera monticola,/m/02w6_mb
309,lichmera notabilis,/m/02w6_nc
310,hemitriccus spodiops,/m/02w6spj
311,telophorus bocagei,/m/02w71bb
312,malaconotus monteiri,/m/02w71gt
313,symposiachrus mundus,/m/02w75s9
314,myrmotherula sclateri,/m/02w7b5m
315,myzomela vulnerata,/m/02w7b_d
316,myzomela boiei,/m/02w7bhl
317,myzomela wakoloensis,/m/02w7c02
318,cinnyris humbloti,/m/02w7d1f
319,phylloscartes virescens,/m/02w7r51
320,platysteira tonsa,/m/02w7sqx
321,prinia molleri,/m/02w7wct
322,rhipidura diluta,/m/02w81zj
323,rhytipterna immunda,/m/02w82zh
324,scytalopus parkeri,/m/02w87kn
325,synallaxis cabanisi,/m/02w8dhf
326,synallaxis cherriei,/m/02w8dkv
327,synallaxis macconnelli,/m/02w8dvs
328,thamnophilus cryptoleucus,/m/02w8h4q
329,thamnophilus stictocephalus,/m/02w8hf_
330,thamnophilus zarumae,/m/02w8hl3
331,timeliopsis griseigula,/m/02w8jwd
332,zosterops novaeguineae,/m/02w8rff
333,eremophila dichroantha,/m/02zb8cr
334,porphyrio paepae,/m/03cyr15
335,patagornis marshi,/m/047m2xw
336,andrewsornis abbotti,/m/047s06v
337,schistocichla rufifacies,/m/04cwyrl
338,phyllomyias weedeni,/m/04gpykq
339,aratinga chloroptera maugei,/m/051_t39
340,cyanoramphus subflavescens,/m/05sz2bx
341,scepomycter rubehoensis,/m/080pyqf
342,cyprus dipper,/m/09w4h2
343,surniculus musschenbroeki,/m/0bg0tk
344,pachycephala johni,/m/0cc9pyk
345,pomatorhinus swinhoei,/m/0ch237b
346,pachyanas chathamica,/m/0ch4r6m
347,nesoenas duboisi,/m/0dzjkq
348,willisornis vidua,/m/0gmcv26
349,solomons white ibis,/m/0hr3yzm
350,micromacronus sordidus,/m/0j_3vdq
351,breagyps clarki,/m/0q3xywn
352,lalage conjuncta,/m/0sgfpy7
353,rhipidura sauli,/m/0swml96
354,rhinomyias nicobaricus,/m/0t_czwh
355,colaptes oceanicus,/m/0tkgbgm
356,schiffornis aenea,/m/0wj_t4v
357,horornis brunnescens,/m/0wxnh61
358,psittiparus ruficeps,/m/0wxsz29
359,ninox obscura,/m/0wxyty6
360,aethopyga decorosa,/m/0wyhdm_
361,hemitriccus cohnhafti,/m/0_xbk12
362,ptilinopus epius,/m/0118wv4k
363,sirystes albogriseus,/m/011l89kf
364,pionites xanthurus,/m/012l6d9s
365,amazona didema,/m/012lb0v6
366,megalurulus whitneyi,/m/02vv5z4
367,sylvietta isabellina,/m/02vv7dk
368,apus berliozi,/m/02w4ncg
369,chaetura egregia,/m/02w4ngk
370,aerodramus papuensis,/m/02w4nt6
371,aplonis insularis,/m/02w55yn
372,porzana nigra,/m/02w5m9l
373,coracina boyeri,/m/02w66xp
374,dicaeum nitidum,/m/02w6fbl
375,hemitriccus minor,/m/02w6sl2
376,herpsilochmus dorsimaculatus,/m/02w6st9
377,herpsilochmus gentryi,/m/02w6svb
378,hylexetastes brigidai,/m/02w6tnw
379,lophozosterops superciliaris,/m/02w70df
380,macronyx fuellebornii,/m/02w712f
381,melidectes whitemanensis,/m/02w73kv
382,meliphaga orientalis,/m/02w73vf
383,muscicapa boehmi,/m/02w76bj
384,myiagra cervinicauda,/m/02w7749
385,myiophobus inornatus,/m/02w78fl
386,myrmeciza castanea,/m/02w78zs
387,myrmeciza goeldii,/m/02w791j
388,myrmotherula iheringi,/m/02w79_s
389,myrmotherula grisea,/m/02w79wn
390,myrmotherula sunensis,/m/02w7b7b
391,cinnyris moreaui,/m/02w7d90
392,pachycephala implicata,/m/02w7l84
393,phedina brazzae,/m/02w7p5s
394,phylloscartes chapmani,/m/02w7qrn
395,ploceus bertrandi,/m/02w7s_h
396,poecilotriccus russatus,/m/02w7v5n
397,ptilocichla mindanensis,/m/02w7y56
398,rhipidura cockerelli,/m/02w81y4
399,rhipidura hyperythra,/m/02w820l
400,schistocichla caurensis,/m/02w83m3
401,scytalopus parvirostris,/m/02w87k_
402,scytalopus schulenbergi,/m/02w87mq
403,scytalopus spillmanni,/m/02w87pf
404,syndactyla striatus,/m/02w8978
405,zosterops leucophoeus,/m/02w89zn
406,synallaxis castanea,/m/02w8dk4
407,geokichla crossleyi,/m/02w8qkl
408,geokichla mendeni,/m/02w8qrs
409,zoothera turipavae,/m/02w8qwx
410,zosterops murphyi,/m/02w8rcq
411,zosterops rennellianus,/m/02w8rjj
412,zosterops vellalavella,/m/02w8rrd
413,myophonus castaneus,/m/03c8n8k
414,rhodacanthis forfex,/m/03cbwvg
415,cinnyris tsavoensis,/m/03crf_3
416,gallirallus philippensis macquariensis,/m/03d46wr
417,megapodius molistructor,/m/03h2qln
418,ammodramus maritimus peninsulae,/m/03h5tyf
419,dryolimnas augusti,/m/05b66zm
420,bountyphaps obsoleta,/m/05zw2pk
421,pachycephala mentalis,/m/0b6d3sq
422,pachycephala vitiensis,/m/0cc6b7d
423,rhipidura matthiae,/m/0djfp1
424,coracina welchmani,/m/0dlk0td
425,berruornis orbisantiqui,/m/0ds0_zz
426,nycticorax megacephalus,/m/0dyx6x
427,arborophila rolli,/m/0h3p29s
428,aerodramus inquietus,/m/0h95wjz
429,tyto cavatica,/m/0j6382t
430,accipiter efficax,/m/0lqf8h4
431,drymophila hellmayri,/m/0n_8r2z
432,formicivora paludicola,/m/0_r_47z
433,fulica prisca,/m/0wbmb57
434,aethopyga jefferyi,/m/0wyjrws
435,dicrurus menagei,/m/0_x8jfn
436,robsonius sorsogonensis,/m/0zwpqj5
437,poecile weigoldicus,/m/011l6z9v
438,necropsar rodericanus,/m/026f7r4
439,porzana astrictocarpus,/m/026gc4w
440,acrocephalus kerearako,/m/02vv4m5
441,bernieria cinereiceps,/m/02vv4x3
442,bradypterus castaneus,/m/02vv51m
443,phyllergates heterolaemus,/m/02vv68t
444,aerodramus orientalis,/m/02w4ns5
445,caprimulgus donaldsoni,/m/02w4rsg
446,anthoscopus flavifrons,/m/02w5pvd
447,coracina mcgregori,/m/02w67bf
448,coracina parvula,/m/02w67hy
449,coracina sula,/m/02w67p2
450,crateroscelis nigrorufa,/m/02w69f3
451,dicaeum vulneratum,/m/02w6fhr
452,lichmera alboauricularis,/m/02w6_gj
453,herpsilochmus sticturus,/m/02w6szj
454,petrochelidon preussi,/m/02w6tgp
455,hylexetastes uniformis,/m/02w6tqy
456,hylopezus ochroleucus,/m/02w6tyt
457,laniarius amboimensis,/m/02w6y15
458,laniarius turatii,/m/02w6y7c
459,malimbus racheliae,/m/02w71z8
460,microeca hemixantha,/m/02w74m5
461,symposiachrus browni,/m/02w75gb
462,symposiachrus manadensis,/m/02w75ql
463,myiagra ferrocyanea,/m/02w7760
464,isleria guttata,/m/02w79xp
465,myzomela cruentata,/m/02w7bnd
466,myzomela dammermani,/m/02w7bnr
467,myzomela lafargei,/m/02w7bt6
468,myzomela tristrami,/m/02w7bzq
469,cinnyris comorensis,/m/02w7ct5
470,ochthoeca pulchella,/m/02w7h9z
471,oenanthe phillipsi,/m/02w7hvg
472,oreornis chrysogenys,/m/02w7j53
473,pachycephala leucogastra,/m/02w7lb6
474,philemon novaeguineae,/m/02w7pfq
475,syndactyla dimidiata,/m/02w7pmk
476,phylloscartes parkeri,/m/02w7r07
477,poecilotriccus senex,/m/02w7v6b
478,oreophilais robertsi,/m/02w7wdh
479,pseudotriccus simplex,/m/02w7xv6
480,rhegmatorhina hoffmannsi,/m/02w819k
481,rhipidura leucothorax,/m/02w823b
482,rhipidura rennelliana,/m/02w828v
483,rhipidura threnothorax,/m/02w82jr
484,sericornis perspicillatus,/m/02w87_1
485,scytalopus opacus,/m/02w878q
486,scytalopus superciliaris,/m/02w87qg
487,scytalopus vicinior,/m/02w87rh
488,sterrhoptilus capitalis,/m/02w8c3f
489,sturnella lilianae,/m/02w8c_m
490,zosterornis  striatus,/m/02w8cnm
491,terpsiphone rufocinerea,/m/02w8gxt
492,toxorhamphus novaeguineae,/m/02w8kry
493,zosterops explorator,/m/02w8r22
494,zosterops meeki,/m/02w8r99
495,onychognathus neumanni,/m/03c6z1w
496,coenocorypha chathamica,/m/03c7b_q
497,scytalopus urubambae,/m/03cg968
498,gallirallus philippensis andrewsi,/m/03d38qb
499,puffinus olsoni,/m/03qhq_z
500,hypocnemis flavescens,/m/04cs6xd
501,borneo thrush,/m/05f7nvr
502,pachycephala orioloides,/m/0b6g9s4
503,branta hylobadistes,/m/0b90q3
504,phaethornis aethopygus,/m/0bs0wmx
505,setopagis heterura,/m/0cp1m2v
506,caloenas canacorum,/m/0dgst9v
507,proardea amissa,/m/0f2n8t
508,inguza predemersus,/m/0fb60m
509,grus pagei,/m/0gy10m_
510,geotrygon larva,/m/0jl1sbs
511,drymophila klagesi,/m/0n_8qj1
512,ninox forbesi,/m/0s8ypyz
513,hylopezus whittakeri,/m/0sgh57x
514,hypsipetes mindorensis,/m/0tkft25
515,otus frutuosoi,/m/0w2_8q0
516,centrornis majori,/m/0w6g25s
517,schiffornis olivacea,/m/0wj8gxb
518,myrmeciza zeledonia,/m/0wk51s0
519,cyanocorax hafferi,/m/0wxzctp
520,acrocephalus musae,/m/0wy1rfm
521,thripophaga amacurensis,/m/0y6b79t
522,zosterops semiflavus,/m/026lsrq
523,apalis lynesi,/m/02q77z7
524,dendroscansor decurvirostris,/m/02v_2qy
525,crithagra reichardi,/m/02vtb0w
526,buettikoferella bivittata,/m/02vv573
527,eremomela badiceps,/m/02vv5j1
528,graueria vittata,/m/02vv5mh
529,macrosphenus kempi,/m/02vv5v0
530,macrosphenus pulitzeri,/m/02vv5vq
531,megalurulus grosvenori,/m/02vv5wd
532,phylloscopus goodsoni,/m/02vv6l2
533,sylvietta leucophrys,/m/02vv7dx
534,urosphena subulata,/m/02vv7q5
535,apus batesi,/m/02w4nbf
536,aerodramus pelewensis,/m/02w4ntk
537,zoonavena thomensis,/m/02w4pf4
538,centropus milo,/m/02w4t_8
539,microdynamis parva,/m/02w4w6g
540,baeopogon indicator,/m/02w51px
541,neolestes torquatus,/m/02w52gs
542,phyllastrephus poliocephalus,/m/02w52vk
543,alopecoenas norfolkensis,/m/02w5ct5
544,apalis binotata,/m/02w5qjd
545,apalis nigriceps,/m/02w5qq7
546,automolus melanopezus,/m/02w5s7f
547,cisticola rufus,/m/02w64zf
548,conirostrum margaritae,/m/02w6614
549,cranioleuca semicinerea,/m/02w6978
550,cranioleuca vulpecula,/m/02w699p
551,lichenostomus subfrenatus,/m/02w6_dg
552,dicaeum eximium,/m/02w6f3q
553,gerygone dorsalis,/m/02w6qkf
554,lalage atrovirens,/m/02w6xvn
555,lalage melanoleuca,/m/02w6xyd
556,laniarius luehderi,/m/02w6y4z
557,melilestes megarhynchus,/m/02w73lw
558,monarcha erythrostictus,/m/02w75kf
559,symposiachrus julianae,/m/02w75nj
560,myiagra hebetior,/m/02w778s
561,myrmeciza disjuncta,/m/02w78_t
562,myophonus melanurus,/m/02w78vn
563,myrmecocichla melaena,/m/02w79g7
564,myrmoborus lugubris,/m/02w79jn
565,myrmotherula assimilis,/m/02w79rj
566,myrmotherula behni,/m/02w79rw
567,epinecrophylla fjeldsaai,/m/02w79v8
568,myrmotherula klagesi,/m/02w7b03
569,neopelma sulphureiventer,/m/02w7fcd
570,pachycephala meyeri,/m/02w7lcy
